,ET_Over_60_Population,EM_Over_60_Pop_Median_Age,E_Over_60_SEX_Male,E_Over_60_SEX_Female,E_Over_60_RACE_One_Race,E_Over_60_RACE_White,E_Over_60_RACE_Black,E_Over_60_RACE_Native_Pop,E_Over_60_RACE_Asian,E_Over_60_RACE_Pacific_Islander,E_Over_60_RACE_Other_Race,E_Over_60_RACE__Two_or_More_Races,E_Over_60_RACE_Hispanic,E_Over_60_RACE_White_Alone,E_Over_60_Pop_in_Households_Householder_Spouse,E_Over_60_Pop_in_Households_Householder_Parent,E_Over_60_Pop_in_Households_Householder_Other_Relative,E_Over_60_Pop_in_Households_Householder_Nonrelative,E_Over_60_Pop_in_Households_Householder_Unmarried_Partner,E_Over_60_Households_TYPE_Family,E_Over_60_Households_TYPE_Family_Married_Couple,E_Over_60_Households_TYPE_Family_Female_Householder,E_Over_60_Households_TYPE_Nonfamily,E_Over_60_Households_TYPE_Nonfamily_Householder_Living_Alone,E_Total_Pop_Over_60_MARITAL_STATUS_Married,E_Total_Pop_Over_60_MARITAL_STATUS_Divorced,E_Total_Pop_Over_60_MARITAL_STATUS_Separated,E_Total_Pop_Over_60_MARITAL_STATUS_Never_Married,E_Pop_Over_60_EDUCATION_Less_Than_High_School,E_Pop_Over_60_EDUCATION_Less_High_School_Grad,E_Pop_Over_60_EDUCATION_Some_College,E_Pop_Over_60_EDUCATION_Bachelors_Degree_or_Higher,E_Total_Pop_Over_60_RESPONSIBLE_FOR_GRANDCHILDREN_Live_Together,E_Total_Pop_Over_60_RESPONSIBLE_FOR_GRANDCHILDREN_Live_Together_and_Responsible,E_Pop_Over_60_VETERAN_STATUS_Civilian_Veteran,E_Pop_Over_60_DISABILITY_STATUS_Yes,E_Pop_Over_60_DISABILITY_STATUS_No,E_Pop_Over_60_Place_of_Residence_Last_Year_Same_House,E_Pop_Over_60_Place_of_Residence_Last_Year_Different_US_House,E_Pop_Over_60_Place_of_Residence_Last_Year_Different_Foreign_House,ET_Over_60_Pop_CITIZENSHIP_Native,ET_Over_60_Pop_CITIZENSHIP_Foreign_Born,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Post_2010_Entry,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Btwn_2000_2009_Entry,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Before_2000_Entry,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_US_Citizen,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Not_US_Citizen,E_Over_60_Pop_LANGUAGE_English_Only_At_Home,E_Over_60_Pop_LANGUAGE_Nonenglish_At_Home,E_Over_60_Pop_LANGUAGE_Limited_English,ET_Over_60_Pop_EMPLOYMENT_STATUS_in_Labor_Force,E_Over_60_Pop_EMPLOYMENT_STATUS_in_Civilian_Labor_Force,E_Over_60_Pop_EMPLOYMENT_STATUS_in_Civilian_Labor_Force_Employed,E_Over_60_Pop_EMPLOYMENT_STATUS_in_Civilian_Labor_Force_Unemployed,E_Total_Pop_Over_60_EMPLOYMENT_STATUS_Not_In_Labor_Force,E_Total_Pop_Over_60_EMPLOYMENT_STATUS_In_Civilian_Labor_Force_Unemployed_Percent_of_Labor_Force,EM_Over_60_Households_WITH_INCOME_Mean_Earnings,EM_Over_60_Households_WITH_INCOME_Mean_Social_Security,EM_Over_60_Households_WITH_INCOME_Mean_Suppl_Security,EM_Over_60_Households_WITH_INCOME_Mean_Retirement_Income,EM_Over_60_Households_WITH_INCOME_Mean_Cash_Public_Asst,E_Over_60_Households_WITH_INCOME_WITH_EARNINGS,E_Over_60_Households_WITH_INCOME_WITH_Social_Security,E_Over_60_Households_WITH_INCOME_WITH_Suppl_Security,E_Over_60_Households_WITH_INCOME_WITH_Cash_Public_Asst,E_Over_60_Households_WITH_INCOME_WITH_Retirement_Income,E_Over_60_Households_WITH_INCOME_WITH_SNAP,E_Over_60_Pop_POVERTY_STATUS_Below_100_Percent,E_Over_60_Pop_POVERTY_STATUS_Btwn_100_149_Percent,E_Over_60_Pop_POVERTY_STATUS_Above_150_Percent,E_Over_60_HOUSING_UNITS_Owner_Occupied,E_Over_60_HOUSING_UNITS_Rented,E_Over_60_HOUSING_UNITS_No_Telephone,E_Over_60_HOUSING_UNITS_More_Than_One_Occupant_Per_Room,EM_Over_60_HOUSING_UNITS_Avg_Household_Size_Owned,EM_Over_60_HOUSING_UNITS_Avg_Household_Size_Rented,E_TRANSPORTATION_Workers_Over_60_Public_Transportation,E_TRANSPORTATION_Workers_Over_16_over_60_mins_public_transportation,STATE,COUNTY,AREA_SQMI,Pop_Density,CDC_SVI_Overall_Ranking,Lat,Long_,FIPS,4_22_Confirmed,4_22_Deaths
1,10744,70.7,4652.152,6091.848,10625.816,8777.848,1740.528,0,64.464,32.232,21.488,118.184,96.696,8734.872,9904.752,328.042,253.968,105.82,31.746,3925.44,3255.408,582.048,2842.56,2734.272,6629.048,1471.928,53.72,397.528,1686.808,4018.256,2643.024,2395.912,494.224,279.344,2428.144,4531.664,6056.336,10013.408,709.104,10.744,10506,238,0,0,238,191.114,46.886,10464.656,279.344,42.976,2202.52,2202.52,2138.056,53.72,8541.48,268.6,47659,19870,11173,29083,2502,2429.712,5827.248,426.384,40.608,3235.104,439.92,1111.74,1101.152,8375.108,5603.904,1164.096,223.344,67.68,1.88,1.53,5373.2,6528.438,ALABAMA,Autauga,594.4434589,92.85996704,0.4354,32.53952745,-86.64408227,1001,32,2
2,55516,69.9,25703.908,29812.092,55071.872,51352.3,3053.38,333.096,222.064,0,55.516,444.128,888.256,50575.076,49072.179,1531.796,2407.108,1695.917,547.07,19484.5,16658.25,2128,13765.5,12734.75,33753.728,8438.432,721.708,1832.028,5884.696,16321.704,16266.188,17098.928,1943.06,832.74,12102.488,16860.228,37880.772,51574.364,3830.604,111.032,54001,1515,130.29,116.655,1268.055,1057.47,457.53,53739.488,1776.512,444.128,13712.452,13712.452,13379.356,333.096,41803.548,1387.9,58961,21073,11007,27007,3428,13798.75,27497.75,1429.75,299.25,16093,1795.5,5036.172,4652.985,45106.584,28661.5,4588.5,897.75,166.25,2.08,1.9,0,37428.9,ALABAMA,Baldwin,1589.793007,130.9019471,0.2162,30.72774991,-87.72207058,1003,132,3
3,13846,70,6161.47,7684.53,13693.694,13319.852,235.382,69.23,27.692,13.846,13.846,152.306,346.15,13015.24,11911.68,582.048,730.944,311.328,94.752,4905.792,4080.144,625.248,3110.208,2957.904,8556.828,1786.134,55.384,401.534,3544.576,5219.942,3461.5,1619.982,595.378,249.228,2367.666,4491.67,9078.33,13278.314,553.84,13.846,13436,410,59.04,13.94,337.02,243.95,166.05,13472.158,373.842,249.228,2423.05,2423.05,2367.666,69.23,11422.95,373.842,45463,20988,10380,26033,2051,2829.648,6813.6,673.344,32.064,3599.184,424.848,1329.86,1791.24,10435.33,6765.504,1250.496,208.416,0,2.12,1.55,8680,3914.68,ALABAMA,Blount,644.8304602,89.39559087,0.4242,33.98210918,-86.56790593,1009,29,0
4,27464,69.2,12248.944,15215.056,27189.36,22657.8,4174.528,82.392,219.712,0,82.392,274.64,247.176,22493.016,24482.404,916.742,943.705,620.149,269.63,10207.2,7893.568,1837.296,6804.8,6447.548,15901.656,3680.176,494.352,1263.344,5135.768,9722.256,7744.848,4861.128,1373.2,604.208,5657.584,11446.304,15549.696,25898.552,1537.984,27.464,26899,565,14.125,28.25,523.19,353.125,211.875,26804.864,659.136,302.104,6481.504,6481.504,6289.256,192.248,20982.496,796.456,50093,18635,8948,25143,2363,7042.968,13711.672,1343.948,187.132,9050.384,1701.2,3077.544,2699.6,21218.856,14749.404,2262.596,306.216,119.084,1.95,1.69,16389.79,11143.2,ALABAMA,Calhoun,605.8672514,189.9723079,0.8252,33.77483727,-85.82630386,1015,85,3
5,8614,70,3660.95,4953.05,8579.544,5823.064,2661.726,25.842,60.298,0,0,34.456,34.456,5788.608,7627.803,293.055,267.936,192.579,33.492,3076.904,2174.862,713.886,2457.096,2335.348,4444.824,1162.89,189.508,465.156,2403.306,2989.058,2093.202,1128.434,542.682,353.174,1309.328,3067.825,5337.175,8123.002,482.384,8.614,8529,85,0,37.995,47.005,13.005,71.995,8527.86,86.14,60.298,1688.344,1688.344,1645.274,51.684,6925.656,258.42,48492,19299,10053,15648,1283,2191.464,4355.258,503.594,44.272,2030.978,536.798,1050.625,1285.965,6068.41,4637.492,896.508,121.748,33.204,2.07,1.82,0,6476.8,ALABAMA,Chambers,596.560643,56.70169562,0.7382,32.91360079,-85.39072749,1017,270,16
6,7538,69.8,3505.17,4032.83,7507.848,7191.252,293.982,22.614,7.538,0,0,30.152,15.076,7183.714,6954.448,132.606,191.542,88.404,36.835,2936.904,2481.498,343.878,1710.096,1631.097,4877.086,897.022,52.766,271.368,1786.506,3324.258,1696.05,731.186,331.672,143.222,1477.448,2652.12,4714.88,7048.03,489.97,0,7474,64,0,0,64,48,16,7485.234,52.766,15.076,1093.01,1093.01,1055.32,37.69,6444.99,248.754,57447,20084,9079,24707,6877,1440.57,4084.713,413.583,27.882,2044.68,520.464,1046.114,1024.013,5289.506,3754.776,892.224,88.293,32.529,1.98,1.63,3986.448,3698.12,ALABAMA,Cherokee,553.5248315,46.70612505,0.4516,34.17805983,-85.60638968,1019,13,0
7,9663,70.1,4551.273,5111.727,9663,8667.711,840.681,86.967,0,0,67.641,0,202.923,8600.07,8804.646,341.928,180.462,170.964,9.498,3452.715,2804.949,458.325,2658.285,2597.175,5691.507,1372.146,86.967,338.205,1913.274,4338.687,1961.589,1459.113,531.465,173.934,1720.014,3470.42,6037.58,9353.784,280.227,28.989,9633,30,0,0,30,30,0,9518.055,144.945,38.652,2261.142,2261.142,2241.816,19.326,7401.858,77.304,57923,20138,8677,26691,1933,2511.621,5011.02,531.657,128.331,2487.177,714.987,1283.58,941.292,7292.636,5157.684,953.316,146.664,116.109,2.03,1.56,NA,NA,ALABAMA,Chilton,692.8511876,63.40466869,0.7602,32.85044126,-86.7173256,1021,46,1
8,11294,70,5082.3,6211.7,11226.236,9215.904,1603.748,169.41,214.586,0,11.294,67.764,203.292,9035.2,9995.264,462.336,473.344,77.056,33.024,3954.758,3269.358,534.612,2899.242,2782.724,6844.164,1502.102,191.998,316.232,1931.274,3738.314,3320.436,2303.976,767.992,327.526,2857.382,4359.168,6648.832,10424.362,801.874,67.764,10773,521,52.1,26.05,442.85,344.902,176.098,10819.652,474.348,135.528,2800.912,2800.912,2733.148,67.764,8493.088,282.35,58914,19801,10174,26937,2902,2933.512,5448.93,418.094,89.102,3618.912,534.612,1067.776,924.672,9004.544,5627.134,1226.866,143.934,20.562,1.99,1.78,NA,NA,ALABAMA,Coffee,678.9858208,75.5361871,0.5408,31.39932826,-85.98901039,1031,73,1
9,14380,70.3,6370.34,8009.66,14221.82,12007.3,2041.96,71.9,71.9,14.38,14.38,158.18,71.9,11978.54,12815.512,663.358,465.762,169.368,84.684,5289.56,4201.32,740.36,3630.44,3487.72,8527.34,1941.3,71.9,632.72,2617.16,5723.24,3451.2,2602.78,690.24,273.22,2358.32,5435.43,8682.57,13718.52,661.48,0,14205,175,9.975,0,165.025,152.075,22.925,14178.68,201.32,71.9,2703.44,2703.44,2617.16,86.28,11676.56,460.16,50271,20179,7628,25000,1871,3148.76,7305.48,633.32,107.04,4397.56,713.6,1708.278,1877.694,10532.028,7457.12,1462.88,258.68,17.84,2,1.58,0,11416.749,ALABAMA,Colbert,592.7446865,91.93671616,0.4274,34.69847452,-87.80168544,1033,20,1
10,10509,70.2,4665.996,5843.004,10340.856,9300.465,998.355,10.509,42.036,0,0,168.144,63.054,9237.411,9191.18,335.148,396.084,233.588,142.184,3718.62,2995.92,519.03,2851.38,2700.27,5885.04,1303.116,136.617,420.36,2290.962,3930.366,2700.813,1586.859,462.396,210.18,1954.674,4293.66,5929.34,9825.915,683.085,10.509,10417,92,0,25.024,66.976,50.968,41.032,10403.91,105.09,42.036,2248.926,2248.926,2175.363,73.563,8260.074,336.288,43207,19013,10168,21002,3514,2739.69,5361.12,427.05,39.42,2549.16,512.46,1206.314,1288.098,7728.588,5584.5,985.5,91.98,26.28,1.99,1.51,0,13429,ALABAMA,Covington,1030.556053,36.24354046,0.7723,31.2477854,-86.45050893,1039,27,0
11,20139,70.3,9122.967,11016.033,19877.193,19655.664,140.973,60.417,20.139,0,0,261.807,161.112,19494.552,17490.048,787.84,1083.28,334.832,98.48,7003.799,6004.955,784.806,4887.201,4685.054,12204.234,2356.263,261.807,604.17,4249.329,7934.766,5518.086,2436.819,1087.506,342.363,3343.074,7640.541,12102.459,19031.355,1087.506,0,20007,132,1.98,17.028,112.992,125.004,6.996,20038.305,100.695,20.139,3906.966,3906.966,3866.688,40.278,16232.034,161.112,52205,20162,10526,18716,1858,4316.433,9762.511,725.351,71.346,5053.675,820.479,1994.043,2842.992,14905.965,10202.478,1688.522,142.692,59.455,2.06,1.49,8580.096,12023.424,ALABAMA,Cullman,734.7802988,112.0239616,0.5182,34.13020303,-86.86888037,1043,44,0
12,10658,69.9,4774.784,5883.216,10572.736,8814.166,1481.462,95.922,191.844,0,10.658,85.264,255.792,8611.664,9414.678,312.78,594.282,114.686,52.13,3996.915,3012.75,810.095,2698.085,2584.27,5957.822,1651.99,170.528,415.662,1950.414,3634.378,3517.14,1556.068,309.082,106.58,2952.266,4789.206,5644.794,10231.68,405.004,21.316,10184,474,34.128,9.954,429.918,368.772,105.228,10189.048,468.952,181.186,2131.6,2131.6,2099.626,31.974,8526.4,149.212,51471,18990,8596,24088,4221,2631.135,5449.73,636.025,60.255,3608.605,756.535,1158.174,1064.268,8211.558,5409.56,1285.44,60.255,20.085,1.89,1.85,0,10318.329,ALABAMA,Dale,561.1006284,87.78282808,0.7599,31.43037123,-85.61095742,1045,22,0
13,9468,68.4,4251.132,5216.868,9430.128,3957.624,5406.228,0,56.808,18.936,0,37.872,94.68,3900.816,8507.009,250.479,361.803,148.432,83.493,3526.068,2234.468,955.784,2931.932,2815.688,4497.3,1344.456,208.296,1145.628,2395.404,3266.46,2035.62,1770.516,520.74,142.02,1192.968,3420.928,5875.072,8956.728,473.4,37.872,9297,171,42.066,36.936,91.998,88.92,82.08,9335.448,132.552,37.872,2139.768,2139.768,2092.428,47.34,7328.232,198.828,40223,16503,8122,18026,1129,2764.024,5211.606,1033.28,90.412,2311.964,1407.844,1868.496,1171.296,6256.208,4830.584,1627.416,116.244,45.206,1.93,1.8,NA,NA,ALABAMA,Dallas,978.737527,40.8986055,0.949,32.32688101,-87.1086671,1047,30,2
14,15952,69.6,7417.68,8534.32,15824.384,15329.872,223.328,191.424,0,0,79.76,127.616,159.52,15250.112,14225.96,587.594,541.205,108.241,15.463,5827.736,4765.44,734.672,4100.264,4000.984,9300.016,1834.48,287.136,669.984,4530.368,5806.528,3318.016,2297.088,989.024,398.8,2408.752,5710.624,9807.376,15138.448,797.6,31.904,15739,213,0,38.979,174.021,66.03,146.97,15728.672,223.328,127.616,3174.448,3174.448,3062.784,111.664,12777.552,526.416,49878,19004,8318,21636,1500,3772.64,8091.32,804.168,59.568,3891.776,1221.144,2110.448,2498.398,10909.154,7922.544,2005.456,307.768,59.568,2.08,1.7,4805.6,9635.228,ALABAMA,DeKalb,777.0984139,91.62288679,0.8022,34.45946862,-85.80782906,1049,58,2
15,16429,69.4,7836.633,8592.367,16281.139,14030.366,1987.909,49.287,98.574,0,115.003,147.861,131.432,13948.221,14730.957,540.294,444.948,190.692,63.564,6298.412,4934.098,882.188,3959.588,3713.396,9775.255,2316.489,98.574,739.305,2562.924,5881.582,3959.389,4025.105,739.305,262.864,3121.51,6642.438,9248.562,15361.115,1018.598,32.858,16173,256,0,0,256,189.952,66.048,16083.991,345.009,164.29,3942.96,3942.96,3844.386,98.574,12486.04,427.154,64747,21169,9722,26944,1947,4462.23,8196.142,748.834,215.418,5323.902,974.51,1144.152,1446.081,13316.658,8534.656,1723.344,164.128,82.064,2.05,1.8,8660.772,8430.84,ALABAMA,Elmore,618.4462511,131.3161812,0.5401,32.59785413,-86.14415284,1051,74,1
16,8831,69.8,3920.964,4910.036,8760.352,6490.785,1942.82,300.254,17.662,0,0,70.648,52.986,6437.799,8008.704,152.064,202.752,84.48,16.896,3019.24,2387.84,505.12,2720.76,2646.14,4901.205,1130.368,158.958,476.874,1660.228,4026.936,1898.665,1245.171,627.001,344.409,1404.129,3450.048,5005.952,8539.577,291.423,0,8781,50,0,21,29,47,3,8795.676,35.324,8.831,1677.89,1677.89,1642.566,35.324,7153.11,176.62,40917,18138,8591,19553,4141,1934.38,4861.78,355.88,74.62,2043.44,717.5,1150.016,1336.048,5969.936,4672.36,1067.64,132.02,97.58,2.03,1.95,NA,NA,ALABAMA,Escambia,945.2221437,39.49124579,0.8557,31.1256789,-87.15918694,1053,18,1
17,25667,69.5,11242.146,14424.854,25384.663,22201.955,2797.703,154.002,128.335,51.334,77.001,282.337,282.337,22047.953,22509.9,900.396,1100.484,475.209,225.099,8748.465,6967.246,1434.433,7014.535,6636.223,14091.183,3952.718,359.338,1257.683,4594.393,8829.448,7828.435,4414.724,1334.684,924.012,4594.393,9644.25,15405.75,24203.981,1411.685,51.334,25179,488,1.952,22.936,463.112,244.976,243.024,25050.992,616.008,205.336,5467.071,5467.071,5415.737,51.334,20199.929,256.67,44362,20079,10327,21059,1848,6242.148,13303.972,1355.618,126.104,7692.344,1450.196,2229.45,2930.85,19889.7,13177.868,2585.132,315.26,63.052,2.08,1.79,15897.6,11739.2,ALABAMA,Etowah,535.2816213,192.3081158,0.6564,34.04567266,-86.04051873,1055,116,8
18,7146,69.5,3058.488,4087.512,7095.978,6602.904,343.008,21.438,0,0,121.482,50.022,171.504,6567.174,6370.272,273.312,266.304,98.112,63.072,2389.827,1894.431,399.069,2197.173,2146.716,3794.526,986.148,85.752,207.234,1722.186,3008.466,1450.638,964.71,314.424,235.818,693.162,2658.685,4356.315,6652.926,485.928,7.146,7102,44,0,0,44,41.008,2.992,6981.642,164.358,0,1543.536,1543.536,1464.93,85.752,5602.464,385.884,39671,18073,10681,19834,495,1688.016,3820.971,472.461,64.218,1949.475,633.006,911.95,1311.805,4791.245,3784.275,802.725,238.524,36.696,1.99,1.34,0,6303.843,ALABAMA,Franklin,633.9182505,49.75720446,0.8417,34.44235334,-87.84289505,1059,22,0
19,23959,69.8,10565.919,13393.081,23815.246,19071.364,4456.374,71.877,167.713,0,47.918,143.754,263.549,18903.651,20820.892,1138.272,1185.7,569.136,142.284,8161.4,6555.4,1241,6438.6,6146.6,13488.917,3665.727,335.426,1102.114,4025.112,8217.937,6972.069,4767.841,1150.032,407.303,4576.169,9011.483,14765.517,22665.214,1269.827,23.959,23490,469,7.035,43.148,418.817,393.022,75.978,23383.984,575.016,215.631,6061.627,6061.627,5845.996,215.631,17897.373,814.606,57421,20277,9073,24192,2888,6263.4,11723.8,1036.6,116.8,6088.2,1168,2591.693,2734.355,18474.729,12088.8,2511.2,233.6,58.4,2.04,1.77,2247.828,14610.882,ALABAMA,Houston,579.8690621,179.9578678,0.6838,31.15197924,-85.29939599,1069,75,3
20,13586,69.1,6113.7,7472.3,13287.108,12757.254,407.58,108.688,0,13.586,13.586,298.892,108.688,12689.324,12330.336,624.489,212.592,106.296,66.435,4873.443,4031.743,606.024,3543.557,3417.302,8165.186,1820.524,149.446,421.166,3056.85,5325.712,3328.57,1874.868,747.23,461.924,2010.728,5079.492,8252.508,13083.318,489.096,0,13499,87,0,0,87,70.992,16.008,13436.554,149.446,13.586,3029.678,3029.678,2880.232,135.86,10556.322,611.37,48662,19293,9448,18893,8524,3232.128,6792.519,606.024,58.919,3787.65,782.781,1746.492,1959.804,9612.372,7112.365,1304.635,210.425,58.919,2.05,1.38,0,7490.24,ALABAMA,Jackson,1077.986767,48.32526854,0.5726,34.78144169,-85.99750489,1071,42,2
21,141424,69,59963.776,81460.224,140434.032,87258.608,51478.336,141.424,1131.392,0,141.424,989.968,1131.392,86410.064,124112.7,4412.896,6481.441,2895.963,1103.224,49717.465,35422.57,11417.935,40187.535,38029.815,72974.784,24324.928,2969.904,10748.224,17960.848,44265.712,40164.416,38891.6,7636.896,3535.6,21779.296,48824.489,89488.511,131948.592,9051.136,424.272,138122,3302,353.314,343.408,2605.278,2172.716,1129.284,137605.552,3818.448,1555.664,38325.904,38325.904,37053.088,1272.816,103098.096,4808.416,63970,19947,9725,26338,2856,42345.255,70215.805,7731.83,899.05,41536.11,9709.74,15629.369,13692.987,108990.644,71294.665,18610.335,1528.385,449.525,2.05,1.61,44040.048,29600.688,ALABAMA,Jefferson,1111.381173,593.7584838,0.6621,33.55554728,-86.895063,1073,726,31
22,24146,70.3,10648.386,13497.614,23928.686,22021.152,1690.22,96.584,48.292,24.146,24.146,217.314,241.46,21852.13,22248.199,448.267,542.639,353.895,188.744,8488.346,6889.992,1272.476,7029.654,6657.222,14221.994,3259.71,96.584,941.694,3573.608,9441.086,5770.894,5384.558,869.256,410.482,4128.966,7911.695,15705.305,22504.072,1521.198,120.73,23833,313,0,51.019,261.981,143.041,169.959,23759.664,386.336,169.022,4853.346,4853.346,4636.032,217.314,19292.654,1110.716,55785,21069,9732,25096,2328,5555.444,12724.76,1086.26,62.072,8240.058,1194.886,2385.317,2338.083,18869.983,12848.904,2669.096,341.396,15.518,1.83,1.45,0,8384.39,ALABAMA,Lauderdale,668.0128629,138.5976306,0.4468,34.90171875,-87.65624729,1077,25,3
23,8017,69.3,3607.65,4409.35,7912.779,6581.957,978.074,352.748,0,0,0,104.221,16.034,6565.923,7332.57,276.85,253.12,39.55,7.91,2993.144,2385.769,471.323,1865.856,1812.407,5090.795,905.921,64.136,320.68,2252.777,3375.157,1547.281,841.785,376.799,128.272,1066.261,3298.47,4611.53,7736.405,272.578,8.017,7977,40,0,15,25,11,29,7960.881,56.119,8.017,1627.451,1627.451,1571.332,56.119,6389.549,288.612,42274,19600,10855,16760,1115,1768.676,3887.2,432.451,24.295,2482.949,505.336,870.1,980.84,6051.15,4217.612,641.388,218.655,4.859,1.95,1.86,NA,NA,ALABAMA,Lawrence,690.6840635,48.02629994,0.4952,34.52041498,-87.31069453,1079,12,0
24,25778,68.5,11471.21,14306.79,25623.332,19565.502,5490.714,77.334,489.782,0,0,154.668,360.892,19256.166,22409.856,838.464,1448.256,686.016,152.448,9242.73,7363.116,1491.264,6291.27,5996.124,15131.686,3840.922,644.45,1314.678,3892.478,7398.286,6496.056,7991.18,1546.68,464.004,4872.042,9535.13,15959.87,24076.652,1546.68,180.446,24932,846,126.054,98.136,621.81,610.812,235.188,24721.102,1056.898,489.782,6599.168,6599.168,6341.388,257.78,19178.832,979.564,68181,20554,11656,29345,4873,6850.494,12069.918,1087.38,170.874,7316.514,1227.186,2473.015,2651.48,20370.505,12535.938,2998.062,310.68,93.204,2.15,1.79,930.195,4837.014,ALABAMA,Lee,607.5503975,262.179073,0.6602,32.60154883,-85.35132246,1081,331,20
25,19022,69.9,8578.922,10443.078,18945.912,16625.228,2016.332,171.198,95.11,0,38.044,76.088,323.374,16377.942,16366.24,725.322,1041.488,464.95,130.186,6465.862,5546.97,818.038,4740.138,4549.636,11394.178,2663.08,152.176,722.836,3614.18,6562.59,5002.786,3842.444,1274.474,513.594,3595.158,6962.01,11652.99,17595.35,1426.65,0,18702,320,54.08,77.12,189.12,192,128,18470.362,551.638,190.22,4051.686,4051.686,3937.554,114.132,14970.314,570.66,51816,20436,8227,27077,5545,4415.164,9121.684,762.008,201.708,5647.824,963.716,1954.575,1805.655,14854.77,9771.632,1434.368,257.738,0,2.08,1.75,0,14954.394,ALABAMA,Limestone,559.955192,166.1775823,0.5296,34.81185586,-86.98310072,1083,39,0
26,72393,69.5,32794.029,39598.971,71379.498,56538.933,12523.989,361.965,1592.646,0,289.572,1013.502,1013.502,55742.61,65481.507,1923.831,2707.614,1068.795,427.518,26616.865,21503.505,3789.365,19038.135,18444.62,43073.835,11727.666,868.716,3040.506,8542.374,17591.499,19546.11,26713.017,3185.292,1158.288,15854.067,22884.411,48406.589,67397.883,4922.724,144.786,68242,4151,265.664,186.795,3698.541,3316.649,834.351,68918.136,3474.864,1158.288,21428.328,21428.328,20487.219,941.109,50964.672,3257.685,71978,20233,9952,34913,2003,22005.71,34378.215,2602.335,639.17,24060.185,3150.195,5774.571,5061.661,60454.768,37528.41,8126.59,730.48,136.965,1.91,1.56,19002.597,38618.181,ALABAMA,Madison,801.5829707,446.0673605,0.3076,34.76327133,-86.55069633,1089,205,4
27,8293,70.5,3773.315,4519.685,8226.656,7928.108,232.204,16.586,33.172,0,8.293,66.344,41.465,7903.229,7349.243,287.892,215.919,143.946,39.985,2859.748,2379.682,418.122,2302.252,2240.308,4809.94,937.109,157.567,315.134,2263.989,3201.098,1923.976,903.937,348.306,240.497,1028.332,3932.419,4076.581,7828.592,456.115,8.293,8241,52,0,0,52,42.016,9.984,8218.363,74.637,24.879,1476.154,1476.154,1434.689,41.465,6816.846,248.79,42779,18462,8964,17373,5878,1806.7,4480.616,345.854,113.564,1791.214,619.44,872.981,1497.683,5638.336,4289.622,872.378,154.86,56.782,1.92,1.4,10864,10864,ALABAMA,Marion,742.3415443,40.3655167,0.671,34.13697363,-87.88704173,1093,65,5
28,21921,69.6,9820.608,12100.392,21679.869,21197.607,219.21,175.368,43.842,43.842,21.921,241.131,504.183,20737.266,19188.464,876.088,982.928,341.888,64.104,7542.85,6270.404,931.378,5575.15,5352.144,12845.706,2981.256,241.131,701.472,4121.148,7694.271,5567.934,4559.568,1183.734,569.946,3770.412,7802.24,13573.76,20539.977,1359.102,21.921,21311,610,23.18,111.02,475.8,275.72,334.28,21263.37,657.63,460.341,4778.778,4778.778,4625.331,153.447,17142.222,679.551,60812,19593,9408,26687,1113,5011.076,10809.232,839.552,118.062,6099.87,1167.502,2436.864,2522.368,16416.768,10940.412,2177.588,236.124,118.062,2,1.76,5544.396,3877.2,ALABAMA,Marshall,565.8447822,168.1468187,0.7261,34.36975964,-86.30486727,1095,241,4
29,90146,69,39754.386,50391.614,89424.832,62020.448,25331.026,631.022,1081.752,0,360.584,721.168,1352.19,60938.696,77604.664,4507.788,4331.012,1944.536,707.104,31695.706,23468.075,6571.061,23523.294,22142.819,47867.526,15144.528,1622.628,5769.344,14243.068,34165.334,23437.96,18389.784,5589.052,2704.38,15865.696,30034.383,58562.617,85097.824,4777.738,270.438,87522,2624,228.288,215.168,2180.544,1978.496,645.504,87351.474,2794.526,1262.044,21995.624,21995.624,21364.602,631.022,68150.376,2704.38,57391,20010,8962,23353,1796,24627.674,43788.667,4472.739,607.409,24241.141,7012.813,10188.655,10011.461,68396.884,44506.514,10712.486,993.942,276.095,2.17,1.71,28374.372,22372.101,ALABAMA,Mobile,1229.369243,337.2941061,0.7532,30.78472347,-88.20842409,1097,756,39
30,45575,69.2,19460.525,26114.475,45210.4,24337.05,19870.7,91.15,774.775,0,136.725,364.6,455.75,24063.6,40757.42,1112.375,1690.81,889.9,355.96,16195.376,11465.488,3742,13740.624,12992.224,23379.975,8476.95,1139.375,3326.975,7975.625,12168.525,11120.3,14264.975,2552.2,1093.8,8157.925,16661.326,27887.674,42293.6,3235.825,45.575,43841,1734,180.336,159.528,1394.136,1288.362,445.638,43843.15,1731.85,774.775,13216.75,13216.75,12806.575,410.175,32358.25,1367.25,63920,19163,8261,28749,3459,14608.768,23230.336,2873.856,419.104,13800.496,4131.168,4989.488,4677.645,34881.867,23499.76,6436.24,478.976,209.552,2.01,1.8,19158.282,17550.594,ALABAMA,Montgomery,785.2999995,288.9863748,0.8427,32.2206831,-86.20969272,1101,253,3
